m/z,Intensity
175.023713911,0.0000000
197.005657911,1.8160554
212.980147911,0.0000000
105.114815075,0.0021336
127.096759075,0.0000000
143.071249075,2.3739819
203.223022856,1615.0701464
225.204966856,0.0000000
241.179456856,0.0000000
162.112469347,0.5143825
184.094413347,0.1147735
200.068903347,0.0929988
146.165173626,3748.6464116
168.147117626,0.1748722
184.121607626,0.0142562
149.044449356,0.0247051
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,69.4501379
207.063089965,0.1182534
223.037579965,0.5123760
131.129122469,0.0000000
153.111066469,0.2744823
169.085556469,0.1110414
339.070026456,0.0023000
361.051970456,0.0136231
377.026460456,0.0000000
197.066916134,6.2093893
219.048860134,0.0000000
235.023350134,0.0425857
102.054954469,0.1936912
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,2.5307169
192.074346607,0.7507573
208.048836607,0.0000000
132.076752543,3285.1102954
154.058696543,0.6583821
170.033186543,12.7296127
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,5.6270892
126.052548534,0.0000000
142.027038534,0.8258252
126.021940263,0.0000000
148.003884263,0.0018282
163.978374263,0.0836587
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.2134463
250.079825911,22.4283200
266.054315911,0.0000000
253.093130883,0.0761258
275.075074883,0.0253206
291.049564883,0.0000000
193.034278595,0.0308559
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,63.3449147
136.048131858,0.3340589
152.022621858,0.3113423
177.075749485,0.0443260
199.057693485,0.0212779
215.032183485,0.0192325
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.1252260
189.052214181,1.7973200
205.026704181,0.0000000
169.049534736,0.0000000
191.031478736,115.0954437
207.005968736,0.0000000
105.054620117,0.0000000
127.036564117,0.0366149
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0208028
227.104954503,0.8124288
153.054620117,0.0447382
175.036564117,0.0196644
191.011054117,0.0026790
168.101904663,0.0000000
190.083848663,0.0842342
206.058338663,27.7305691
161.080834865,0.2353238
183.062778865,0.0789585
199.037268865,0.0000000
170.081169218,1.7182858
192.063113218,65.4473214
208.037603218,0.0235088
146.081169218,0.2393843
168.063113218,0.0404414
184.037603218,0.0632459
138.054954469,7.8193521
160.036898469,0.1246326
176.011388469,0.0383418
165.054620117,88.1500588
187.036564117,0.0552758
203.011054117,0.0000000
241.085920245,0.3823824
263.067864245,0.0888676
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.1433821
154.047463153,0.0000000
170.021953153,0.0000000
118.086254598,0.0981314
140.068198598,0.0000000
156.042688598,0.0921774
192.065519153,75.2849922
214.047463153,0.0225312
230.021953153,0.0194193
308.091082453,62.9028110
330.073026453,0.0480667
346.047516453,0.0000000
258.108446595,0.3011091
280.090390595,0.1011136
296.064880595,0.0178204
126.066187858,0.0262256
148.048131858,1.2963834
164.022621858,0.0000000
130.049869089,27.3466133
152.031813089,0.0196546
168.006303089,0.0184932
132.101904663,0.0177136
154.083848663,0.0211028
170.058338663,11.4652554
137.045786766,0.0413682
159.027730766,0.0362732
175.002220766,0.0066711
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1015515
226.104978031,0.0858764
242.079468031,0.2878910
164.128119411,0.0000000
186.110063411,0.1195681
202.084553411,0.0572916
268.104029919,10.7075638
290.085973919,0.3378978
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,551.2045635
169.047128801,0.0146234
185.021618801,0.0173237
159.051266070,0.0201848
181.033210070,0.0000000
197.007700070,1.3022163
261.036994994,0.0111894
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0369603
169.010743291,0.0001905
184.985233291,0.0008413
