"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"1","Lactate_0","CB","Control",4,0.576693430551685,0.0193432707303717
"2","Lactate_0","CB","Mutant",3,0.591136618275639,0.225072742331704
"3","Lactate_1","CB","Control",4,0.0389773690347881,0.00332182129295546
"4","Lactate_1","CB","Mutant",3,0.0252496727197703,0.0109392653743181
"5","Lactate_2","CB","Control",4,0.0445974914446671,0.000875319606924277
"6","Lactate_2","CB","Mutant",3,0.0378909601964536,0.0213543379980268
"7","Lactate_3","CB","Control",4,0.339731708968859,0.0222819633232022
"8","Lactate_3","CB","Mutant",3,0.345722748808137,0.19307496800905
"9","Ala_0","CB","Control",4,0.6253411574877,0.0157466530119898
"10","Ala_0","CB","Mutant",3,0.653093082434498,0.211431818151628
"11","Ala_1","CB","Control",4,0.0381120351615264,0.00478002614754538
"12","Ala_1","CB","Mutant",3,0.0158646465937109,0.00945281626626758
"13","Ala_2","CB","Control",4,0.0360785617692495,0.00269778871362652
"14","Ala_2","CB","Mutant",3,0.0279576948672091,0.0187409767933739
"15","Ala_3","CB","Control",4,0.300468245581524,0.0131299140019928
"16","Ala_3","CB","Mutant",3,0.303084576104582,0.183317788237704
"17","Citrate_0","CB","Control",4,0.389205040500613,0.0232606576992162
"18","Citrate_0","CB","Mutant",3,0.702451642347196,0.180793675226633
"19","Citrate_1","CB","Control",4,0.119077905691983,0.00598472158795309
"20","Citrate_1","CB","Mutant",3,0.0569619126093453,0.0287082962724893
"21","Citrate_2","CB","Control",4,0.254112669705305,0.00581260321712261
"22","Citrate_2","CB","Mutant",3,0.123033780179104,0.0642402890833199
"23","Citrate_3","CB","Control",4,0.120503071496534,0.00976765772662853
"24","Citrate_3","CB","Mutant",3,0.061175181547689,0.0456666524762961
"25","Citrate_4","CB","Control",4,0.0759227969636552,0.00783765661287732
"26","Citrate_4","CB","Mutant",3,0.0367323792389123,0.0278424936509036
"27","Citrate_5","CB","Control",4,0.033078860119132,0.00467876543695684
"28","Citrate_5","CB","Mutant",3,0.0155429930098086,0.0131091330316043
"29","GABA_0","CB","Control",4,0.358187748113836,0.0263255660432985
"30","GABA_0","CB","Mutant",3,0.685637316663619,0.201489028013045
"31","GABA_1","CB","Control",4,0.193305108543068,0.00557741796545629
"32","GABA_1","CB","Mutant",3,0.0914324918333137,0.0491828763704135
"33","GABA_2","CB","Control",4,0.2500633986102,0.00603625217334638
"34","GABA_2","CB","Mutant",3,0.139721031573002,0.0832309620939491
"35","GABA_3","CB","Control",4,0.148028512550112,0.0126203379536967
"36","GABA_3","CB","Mutant",3,0.0603368923159884,0.0504806294777065
