"","compound_and_ion","Tissue","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","Lactate_0","CB","Control","Mutant",4,3,0.922,"ns",1,"ns"
"2","Lactate_0","CT","Control","Mutant",4,3,0.946,"ns",1,"ns"
"3","Lactate_0","HP","Control","Mutant",4,3,0.963,"ns",1,"ns"
"4","Lactate_1","CB","Control","Mutant",4,3,0.154,"ns",0.308,"ns"
"5","Lactate_1","CT","Control","Mutant",4,3,0.862,"ns",0.862,"ns"
"6","Lactate_1","HP","Control","Mutant",4,3,0.0906,"ns",0.2718,"ns"
"7","Lactate_2","CB","Control","Mutant",4,3,0.641,"ns",1,"ns"
"8","Lactate_2","CT","Control","Mutant",4,3,0.989,"ns",1,"ns"
"9","Lactate_2","HP","Control","Mutant",4,3,0.62,"ns",1,"ns"
"10","Lactate_3","CB","Control","Mutant",4,3,0.962,"ns",1,"ns"
"11","Lactate_3","CT","Control","Mutant",4,3,0.952,"ns",1,"ns"
"12","Lactate_3","HP","Control","Mutant",4,3,0.927,"ns",1,"ns"
"13","Ala_0","CB","Control","Mutant",4,3,0.841,"ns",1,"ns"
"14","Ala_0","CT","Control","Mutant",4,3,0.649,"ns",1,"ns"
"15","Ala_0","HP","Control","Mutant",4,3,0.602,"ns",1,"ns"
"16","Ala_1","CB","Control","Mutant",4,3,0.0383,"*",0.1029,"ns"
"17","Ala_1","CT","Control","Mutant",4,3,0.039,"*",0.1029,"ns"
"18","Ala_1","HP","Control","Mutant",4,3,0.0343,"*",0.1029,"ns"
"19","Ala_2","CB","Control","Mutant",4,3,0.532,"ns",0.831,"ns"
"20","Ala_2","CT","Control","Mutant",4,3,0.295,"ns",0.831,"ns"
"21","Ala_2","HP","Control","Mutant",4,3,0.277,"ns",0.831,"ns"
"22","Ala_3","CB","Control","Mutant",4,3,0.983,"ns",1,"ns"
"23","Ala_3","CT","Control","Mutant",4,3,0.8,"ns",1,"ns"
"24","Ala_3","HP","Control","Mutant",4,3,0.752,"ns",1,"ns"
"25","Citrate_0","CB","Control","Mutant",4,3,0.0936,"ns",0.2808,"ns"
"26","Citrate_0","CT","Control","Mutant",4,3,0.119,"ns",0.2808,"ns"
"27","Citrate_0","HP","Control","Mutant",4,3,0.229,"ns",0.2808,"ns"
"28","Citrate_1","CB","Control","Mutant",4,3,0.0601,"ns",0.1803,"ns"
"29","Citrate_1","CT","Control","Mutant",4,3,0.0817,"ns",0.1803,"ns"
"30","Citrate_1","HP","Control","Mutant",4,3,0.211,"ns",0.211,"ns"
"31","Citrate_2","CB","Control","Mutant",4,3,0.0707,"ns",0.2121,"ns"
"32","Citrate_2","CT","Control","Mutant",4,3,0.197,"ns",0.386,"ns"
"33","Citrate_2","HP","Control","Mutant",4,3,0.193,"ns",0.386,"ns"
"34","Citrate_3","CB","Control","Mutant",4,3,0.149,"ns",0.298,"ns"
"35","Citrate_3","CT","Control","Mutant",4,3,0.0897,"ns",0.2691,"ns"
"36","Citrate_3","HP","Control","Mutant",4,3,0.315,"ns",0.315,"ns"
"37","Citrate_4","CB","Control","Mutant",4,3,0.128,"ns",0.256,"ns"
"38","Citrate_4","CT","Control","Mutant",4,3,0.0833,"ns",0.2499,"ns"
"39","Citrate_4","HP","Control","Mutant",4,3,0.219,"ns",0.256,"ns"
"40","Citrate_5","CB","Control","Mutant",4,3,0.136,"ns",0.272,"ns"
"41","Citrate_5","CT","Control","Mutant",4,3,0.0741,"ns",0.2223,"ns"
"42","Citrate_5","HP","Control","Mutant",4,3,0.517,"ns",0.517,"ns"
"43","GABA_0","CB","Control","Mutant",4,3,0.105,"ns",0.1624,"ns"
"44","GABA_0","CT","Control","Mutant",4,3,0.0502,"ns",0.1506,"ns"
"45","GABA_0","HP","Control","Mutant",4,3,0.0812,"ns",0.1624,"ns"
"46","GABA_1","CB","Control","Mutant",4,3,0.0683,"ns",0.1366,"ns"
