"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"Fumarate",0.15604297,0.2374717,0.21193163,0.19273547,0.21869027,0.16928599,0.13657507,0.11023638,0.13262682
"GABA",0.1478676,0.09172842,0.24034586,0.25694027,0.28018661,0.34295415,0.27953794,0.22404447,0.28017311
"Glutamate",0.14822146,0.10025421,0.13564761,0.26298461,0.22980848,0.23813553,0.28514073,0.19417351,0.24430192
"Glutamine",0.16220284,0.11569627,0.11203793,0.26186741,0.2513338,0.23917462,0.2930861,0.24371376,0.21748314
"Pyruvate",0.04033686,0,0.05583492,0.0743863,0,0.07521439,0.01313392,0,0
"Succinate",0.36193599,0.40716525,0.36398872,0.12596658,0.03241498,0.0920017,0.08573697,0.08874494,0.03149871
