"Measurements/Samples","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA_0",104.07095,13.8302696995313,14.2010046600689,3.59765704517297,22.0527571536759,19.3768266607161,7.09321215250394,12.7411123463073,15.9037459032349,18.6986923968268
"GABA_1",105.07434,2.3899706378337,1.45442838089921,1.24644563133492,6.47240527714192,7.97932878126418,4.31352915676578,4.50330338506336,3.72727021239994,6.21846173160871
"GABA_2",106.07773,3.92961362238539,2.06413441780599,1.91091083178888,11.9826092249558,13.1954698460593,5.82099281381666,8.17208795249358,7.01911280620507,12.0742515708453
"GABA_3",107.08112,0.821034317485591,0.324773720819484,0.629792000377978,4.40322242689814,3.7262826673826,3.25679946414698,3.48922801750902,2.93512481891528,5.07185772106994
"GABA_4",108.08451,0.177414803495925,0.258788417813419,0.132073646990882,1.35026330015215,1.90230233961141,1.10018322080062,0.66294666004982,0.32717381585216,0.997313917605332
"Glutamate_0",148.06102,19.791551781304,17.7755011519918,13.3061338069642,28.3866793641831,28.8032012595398,22.239071996924,35.2543579944002,49.8435243649361,26.6887095841699
"Glutamate_1",149.06433,2.01265775585257,0.33044471727896,1.07308037610553,6.94141158415304,3.37843135122085,4.33984415073851,8.7403016898437,5.39588594200461,4.66788239762387
"Glutamate_2",150.06764,8.58786669223632,5.0029944655743,4.93685947527226,21.6932187659435,19.9283688060086,13.6256179486087,35.2349087130857,30.7416295379877,20.1912384694821
"Glutamate_3",151.07095,1.47302636666546,0.725220804066856,0.94139402597997,7.71186609434997,5.6887963431966,4.5438967755434,12.6962833212689,6.58755848480032,6.38910880922746
"Glutamate_4",152.07426,0.535337818497829,0.172998256676578,0.317906276530292,4.41578793305651,2.41939556280406,2.9819403729142,5.9584121109133,2.57270103489118,2.97920532632019
"Glutamate_5",153.07757,0.0497211070686583,0,0.0409425916780492,0.813855523618008,0.587570689638899,0.528431110551298,0.770654960698876,0.166045932251253,0.332225114879697
"Glutamine_0",147.07694,75.3883938157003,94.2106219033805,90.5570684415966,60.5718945405898,57.1695101025041,53.0643272636793,71.2271491677767,86.469916870147,111.708701390938
"Glutamine_1",148.060065,19.791551781304,17.7755011519918,13.3061338069642,28.3866793641831,28.8032012595398,22.239071996924,35.2543579944002,49.8435243649361,26.6887095841699
"Glutamine_2",149.08319,35.1421630942602,29.2115785832612,26.4376898842541,52.7087760472913,46.6448012313971,43.5437382742717,80.8552041040535,69.177521957505,86.3349692633932
"Glutamine_3",150.072315,8.58786669223632,5.0029944655743,4.93685947527226,21.6932187659435,19.9283688060086,13.6256179486087,35.2349087130857,30.7416295379877,20.1912384694821
"Glutamine_4",151.06944,1.47302636666546,0.725220804066856,0.94139402597997,7.71186609434997,5.6887963431966,4.5438967755434,12.6962833212689,6.58755848480032,6.38910880922746
"Glutamine_5",152.042565,0.0551162453095632,0.0436125720195228,0.0338042735930531,0.625156470947801,0.500349078007107,0.599810101809403,0.0468700078713244,0,0.0557462732654155
