m/z,Intensity
175.023713911,0.0000000
197.005657911,2.7214922
212.980147911,0.0000000
105.114815075,0.0071956
127.096759075,0.0000000
143.071249075,1.9552674
203.223022856,7293.0037093
225.204966856,0.1895252
241.179456856,0.0313652
162.112469347,0.1537532
184.094413347,0.2687864
200.068903347,0.0485080
146.165173626,2075.3844366
168.147117626,0.0931349
184.121607626,0.0357564
149.044449356,0.0416661
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,56.6983589
207.063089965,0.2860415
223.037579965,0.4842528
131.129122469,0.0135013
153.111066469,0.4861659
169.085556469,0.2020744
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.6103472
219.048860134,0.0140090
235.023350134,0.2062228
102.054954469,0.3776691
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,6.5673205
192.074346607,0.9224317
208.048836607,0.0000000
132.076752543,5560.4735041
154.058696543,2.3969860
170.033186543,23.1791205
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,14.2783440
126.052548534,0.0000000
142.027038534,2.3638959
126.021940263,0.0254891
148.003884263,0.0209280
163.978374263,0.2015706
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.2685222
250.079825911,24.7802799
266.054315911,0.0009703
253.093130883,0.1776346
275.075074883,0.0201720
291.049564883,0.0000000
193.034278595,0.0341849
215.016222595,0.0000000
230.990712595,0.0186547
114.066187858,93.8208325
136.048131858,0.7908434
152.022621858,0.5376116
177.075749485,0.0253371
199.057693485,0.0134847
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.1301141
189.052214181,2.6439838
205.026704181,0.0132600
169.049534736,0.0000000
191.031478736,117.4876575
207.005968736,0.0006306
105.054620117,0.0000000
127.036564117,0.0325574
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0047811
227.104954503,2.9946316
153.054620117,0.0451203
175.036564117,0.0217691
191.011054117,0.0000000
168.101904663,0.0197111
190.083848663,0.0949228
206.058338663,37.4056870
161.080834865,0.2991237
183.062778865,0.0630781
199.037268865,0.0584522
170.081169218,0.9873200
192.063113218,73.3378493
208.037603218,0.0328617
146.081169218,0.1441280
168.063113218,0.0000000
184.037603218,0.0824631
138.054954469,7.9061719
160.036898469,0.0368057
176.011388469,0.0000000
165.054620117,80.0338918
187.036564117,0.1303261
203.011054117,0.0000000
241.085920245,0.4246535
263.067864245,0.1237165
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.3319570
154.047463153,0.0000000
170.021953153,0.0365368
118.086254598,0.0878636
140.068198598,0.0106678
156.042688598,0.2257015
192.065519153,83.6005848
214.047463153,0.0512455
230.021953153,0.0177764
308.091082453,131.4996481
330.073026453,0.0560973
346.047516453,0.0455492
258.108446595,0.4620047
280.090390595,0.2238873
296.064880595,0.0000000
126.066187858,0.0067978
148.048131858,0.8387382
164.022621858,0.0181764
130.049869089,56.0831289
152.031813089,0.0085364
168.006303089,0.0246330
132.101904663,0.0430802
154.083848663,0.0363640
170.058338663,51.8563154
137.045786766,0.4107291
159.027730766,0.0058063
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.2348057
226.104978031,0.1178127
242.079468031,0.3423013
164.128119411,0.0000000
186.110063411,0.0646775
202.084553411,0.0383722
268.104029919,79.6555322
290.085973919,0.6031051
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,492.1516211
169.047128801,0.0186195
185.021618801,0.0167663
159.051266070,0.0000000
181.033210070,0.0000000
197.007700070,1.7759830
261.036994994,0.0286123
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0235008
169.010743291,0.0002750
184.985233291,0.0000000
189.112134994,0.9126105
211.094078994,4.7446208
227.068568994,0.1971169
123.044055433,10.9849759
145.025999433,0.1591440
161.000489433,0.0251703
119.070270181,0.3845696
141.052214181,0.0000000
157.026704181,0.0000000
89.107324396,0.4632995
111.089268396,0.0617692
127.063758396,0.0000000
89.059705497,0.1508301
111.041649497,0.0344442
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1640.5033335
212.031813089,879.7476442
228.006303089,778.7075033
355.102358156,3.2212889
377.084302156,0.3558628
393.058792156,0.0185028
409.294850387,0.0134396
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0111189
409.344086102,0.0000000
425.318576102,0.0658604
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,2.7446905
198.084911291,3.3870001
214.059401291,0.0071375
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.0866710
266.074740530,0.4486090
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0351474
362.015561419,0.0000000
112.050537794,0.1426124
134.032481794,0.0505798
150.006971794,0.0000000
193.070664104,2.1485047
215.052608104,0.0220542
231.027098104,0.0000000
255.065184801,0.0191748
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.0745774
183.074012254,0.2692376
199.048502254,0.0467044
308.064212800,0.0071616
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0078111
192.987244941,0.0000010
208.961734941,0.0000000
154.086254598,0.0654897
176.068198598,0.3136142
192.042688598,0.6375378
291.086314169,0.2931121
313.068258169,0.0000000
329.042748169,0.0000000
443.097272776,0.0000000
307.081228788,0.0666393
329.063172788,0.4569178
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0172173
265.083514310,0.2378479
281.058004310,0.0011417
289.070664104,0.0184141
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.5377549
155.031478736,0.3748735
171.005968736,0.0014881
287.055014040,0.0048597
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0178306
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,4.3796205
219.047522724,0.0059291
235.022012724,0.1965735
148.060433773,61.2892260
170.042377773,0.0739256
186.016867773,0.0273627
147.076418190,274.7241451
169.058362190,0.2247671
185.032852190,1.1327466
76.039304405,0.1940557
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.0803362
174.038629803,0.0000000
190.013119803,0.0000000
284.098944539,0.7306015
306.080888539,0.2183553
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0092971
386.047219428,0.0000000
402.021709428,0.0000000
179.055014040,0.1431915
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0072671
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.2656630
134.068867303,0.0387704
150.043357303,0.0611932
156.076752543,142.7112391
178.058696543,0.0904405
194.033186543,0.0654302
190.118617355,380.5971808
212.100561355,0.3215798
228.075051355,0.2170815
393.299935767,46.4587972
415.281879767,0.0000000
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0335320
147.983459644,0.0000000
176.070604534,0.4744241
198.052548534,0.8087451
214.027038534,0.0000000
269.088045502,0.0655202
291.069989502,0.0292199
307.044479502,0.0000000
349.054376392,0.0000000
371.036320392,0.1591253
387.010810392,0.0000000
131.033884672,0.0535732
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.0149257
233.114814439,0.5664615
249.089304439,0.6749833
90.054954469,129.1564853
112.036898469,0.0099396
128.011388469,0.0000000
175.118951708,154.5981402
197.100895708,520.9313292
213.075385708,0.0246944
133.060768125,2.7690632
155.042712125,0.0009364
171.017202125,0.0000000
134.044783708,0.5188191
156.026727708,0.0000000
172.001217708,0.0000000
170.011769502,0.0000000
191.993713502,0.0000000
207.968203502,0.0000000
241.031125223,0.0000000
263.013069223,0.0000000
278.987559223,0.0000000
136.042675708,0.0013097
158.024619708,0.0253178
