m/z,Intensity
175.023713911,0.0115538
197.005657911,3.0185466
212.980147911,0.0000000
105.114815075,0.0024514
127.096759075,0.0000000
143.071249075,1.9126967
203.223022856,9610.4001821
225.204966856,0.4475709
241.179456856,0.0206193
162.112469347,0.1038800
184.094413347,0.2917367
200.068903347,0.0770239
146.165173626,1761.6694090
168.147117626,0.0509936
184.121607626,0.0000000
149.044449356,0.0338056
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,51.8647400
207.063089965,0.1947724
223.037579965,0.4276978
131.129122469,0.0000000
153.111066469,0.2342318
169.085556469,0.1877544
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.9106619
219.048860134,0.0000000
235.023350134,0.1987633
102.054954469,0.3629882
124.036898469,0.0287224
140.011388469,0.0000000
170.092402607,7.6455632
192.074346607,1.2788047
208.048836607,0.0000000
132.076752543,4012.4801090
154.058696543,1.5662682
170.033186543,14.6872623
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,20.1970702
126.052548534,0.0443934
142.027038534,1.7892923
126.021940263,0.0288890
148.003884263,0.0681030
163.978374263,0.1115806
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.2320199
250.079825911,24.5732298
266.054315911,0.0000000
253.093130883,0.1483867
275.075074883,0.0220909
291.049564883,0.0000000
193.034278595,0.0094870
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,64.0811918
136.048131858,0.5323863
152.022621858,0.3988527
177.075749485,0.0175647
199.057693485,0.0459424
215.032183485,0.0166922
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.1645359
189.052214181,2.6774684
205.026704181,0.0000000
169.049534736,0.0196168
191.031478736,115.0688813
207.005968736,0.0229296
105.054620117,0.0276569
127.036564117,0.0328280
143.011054117,0.0166888
189.148520503,0.0000000
211.130464503,0.0656082
227.104954503,9.8080652
153.054620117,0.1172181
175.036564117,0.0142520
191.011054117,0.0000000
168.101904663,0.0570998
190.083848663,0.0353998
206.058338663,29.8943107
161.080834865,0.3150547
183.062778865,0.1379255
199.037268865,0.0261903
170.081169218,1.5168555
192.063113218,75.2350758
208.037603218,0.0000000
146.081169218,0.3209692
168.063113218,0.0565937
184.037603218,0.2427372
138.054954469,6.8035000
160.036898469,0.0753316
176.011388469,0.0710084
165.054620117,85.2455044
187.036564117,0.1894617
203.011054117,0.0000000
241.085920245,0.3518660
263.067864245,0.0681485
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0073155
132.065519153,0.1872560
154.047463153,0.0348888
170.021953153,0.0000000
118.086254598,0.1046485
140.068198598,0.0140330
156.042688598,0.1403970
192.065519153,86.2288020
214.047463153,0.1734709
230.021953153,0.0177432
308.091082453,135.6762880
330.073026453,0.0404734
346.047516453,0.0363716
258.108446595,0.3183963
280.090390595,0.1533189
296.064880595,0.0068878
126.066187858,0.0000000
148.048131858,1.2505434
164.022621858,0.0000000
130.049869089,67.1701372
152.031813089,0.0090237
168.006303089,0.0000000
132.101904663,0.0308693
154.083848663,0.0185873
170.058338663,43.8206093
137.045786766,0.5428854
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1135586
226.104978031,0.1057107
242.079468031,0.3231420
164.128119411,0.0055891
186.110063411,0.1104438
202.084553411,0.0594395
268.104029919,104.9879168
290.085973919,0.5487825
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,493.4328824
169.047128801,0.0411771
185.021618801,0.0263703
159.051266070,0.0408977
181.033210070,0.0000000
197.007700070,1.9657491
261.036994994,0.0046078
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0240895
169.010743291,0.0000000
184.985233291,0.0175980
189.112134994,1.0758449
211.094078994,5.0558444
227.068568994,0.1118313
123.044055433,12.7566352
145.025999433,0.1645616
161.000489433,0.0000000
119.070270181,0.3219889
141.052214181,0.0000000
157.026704181,0.0000000
89.107324396,0.3884697
111.089268396,0.0567603
127.063758396,0.0000000
89.059705497,0.3444325
111.041649497,0.0261213
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1596.2457964
212.031813089,819.2817685
228.006303089,726.8657189
355.102358156,2.8266326
377.084302156,0.4379886
393.058792156,0.0563513
409.294850387,0.0000000
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0244492
409.344086102,0.0037185
425.318576102,0.0567570
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,2.4560195
198.084911291,2.7822430
214.059401291,0.0000000
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.1659958
266.074740530,0.5756156
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0040959
362.015561419,0.0000000
112.050537794,0.1404725
134.032481794,0.0213930
150.006971794,0.0000000
193.070664104,1.7087450
215.052608104,0.0000000
231.027098104,0.0000000
255.065184801,0.0180436
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.2125828
183.074012254,0.3184971
199.048502254,0.0188211
308.064212800,0.0081815
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0000000
192.987244941,0.0000000
208.961734941,0.0000000
154.086254598,0.0284098
176.068198598,0.5180960
192.042688598,0.5657076
291.086314169,0.2713902
313.068258169,0.0000000
329.042748169,0.0000000
443.097272776,0.0000000
307.081228788,0.1148392
329.063172788,0.4399705
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0553464
265.083514310,0.1200337
281.058004310,0.0000000
289.070664104,0.0063202
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.4022773
155.031478736,0.3029572
171.005968736,0.0000000
287.055014040,0.0000000
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0187277
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0055083
197.065578724,4.2463949
219.047522724,0.0000000
235.022012724,0.1962009
148.060433773,69.2241504
170.042377773,0.1310152
186.016867773,0.0386699
147.076418190,311.2974633
169.058362190,0.3852165
185.032852190,1.4555744
76.039304405,0.2523033
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.0173147
174.038629803,0.0051833
190.013119803,0.0024816
284.098944539,0.5067489
306.080888539,0.2045404
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0000000
402.021709428,0.0000000
179.055014040,0.0762224
201.036958040,0.0011271
217.011448040,0.0000000
303.086314169,0.0153048
325.068258169,0.0095876
341.042748169,0.0000000
112.086923303,0.0814331
134.068867303,0.0721519
150.043357303,0.0399988
156.076752543,123.3766192
178.058696543,0.0378081
194.033186543,0.0134185
190.118617355,392.8528336
212.100561355,0.1598054
228.075051355,0.2745575
393.299935767,36.9932907
415.281879767,0.0504597
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0000000
147.983459644,0.0182451
176.070604534,0.5268888
198.052548534,0.6296866
214.027038534,0.0000000
269.088045502,0.0439907
291.069989502,0.0201330
307.044479502,0.0060839
349.054376392,0.0000000
371.036320392,0.1189771
387.010810392,0.0000000
131.033884672,0.0000000
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.0158262
233.114814439,0.3199234
249.089304439,0.6323560
90.054954469,95.0312664
112.036898469,0.0114601
128.011388469,0.0000000
175.118951708,118.5976450
197.100895708,524.9272803
213.075385708,0.1086043
133.060768125,2.4486965
155.042712125,0.0000000
