m/z,Intensity
175.023713911,0.0000000
197.005657911,2.4330043
212.980147911,0.0000000
105.114815075,0.0083680
127.096759075,0.0207596
143.071249075,1.7266803
203.223022856,8234.2966126
225.204966856,0.2320872
241.179456856,0.0075686
162.112469347,0.1657423
184.094413347,0.3701471
200.068903347,0.0296768
146.165173626,1762.6106526
168.147117626,0.0183756
184.121607626,0.0253886
149.044449356,0.0699301
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,52.8834098
207.063089965,0.3118546
223.037579965,0.5020204
131.129122469,0.0335850
153.111066469,0.4119738
169.085556469,0.1148532
339.070026456,0.0021254
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.8531445
219.048860134,0.0136634
235.023350134,0.1365171
102.054954469,0.3287221
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,7.9455536
192.074346607,1.0800753
208.048836607,0.0166965
132.076752543,4017.0981984
154.058696543,1.5629488
170.033186543,15.2832031
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,18.1827670
126.052548534,0.0315435
142.027038534,1.7332768
126.021940263,0.0000000
148.003884263,0.0484745
163.978374263,0.1645096
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.1198964
250.079825911,26.3508337
266.054315911,0.0148618
253.093130883,0.1354880
275.075074883,0.0313582
291.049564883,0.0000000
193.034278595,0.0592032
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,72.6013560
136.048131858,0.5645793
152.022621858,0.3645073
177.075749485,0.0303318
199.057693485,0.0413930
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.1208611
189.052214181,2.8130810
205.026704181,0.0042468
169.049534736,0.0000000
191.031478736,115.4890552
207.005968736,0.0160090
105.054620117,0.0039788
127.036564117,0.0000000
143.011054117,0.0000000
189.148520503,0.0023798
211.130464503,0.0203120
227.104954503,6.1543672
153.054620117,0.0568372
175.036564117,0.0147308
191.011054117,0.0167483
168.101904663,0.0163339
190.083848663,0.0948341
206.058338663,34.3004900
161.080834865,0.2640173
183.062778865,0.1121006
199.037268865,0.0323848
170.081169218,0.9595695
192.063113218,73.4984061
208.037603218,0.0135297
146.081169218,0.1471153
168.063113218,0.0437492
184.037603218,0.1923735
138.054954469,6.1600350
160.036898469,0.1959456
176.011388469,0.0024513
165.054620117,86.2298798
187.036564117,0.2128205
203.011054117,0.0000000
241.085920245,0.2273005
263.067864245,0.1533749
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.2085111
154.047463153,0.0165095
170.021953153,0.0330280
118.086254598,0.1224492
140.068198598,0.0242508
156.042688598,0.1124915
192.065519153,83.6711730
214.047463153,0.0363686
230.021953153,0.0000000
308.091082453,126.8769224
330.073026453,0.1098221
346.047516453,0.0048349
258.108446595,0.3551815
280.090390595,0.1538356
296.064880595,0.0000000
126.066187858,0.0350711
148.048131858,0.9673117
164.022621858,0.0000000
130.049869089,62.1140810
152.031813089,0.0255471
168.006303089,0.0137098
132.101904663,0.0000000
154.083848663,0.0909141
170.058338663,43.4325853
137.045786766,0.4043640
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1282391
226.104978031,0.0406014
242.079468031,0.4176895
164.128119411,0.0286555
186.110063411,0.1424013
202.084553411,0.0840473
268.104029919,93.0409627
290.085973919,0.6598449
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,510.7144315
169.047128801,0.0000000
185.021618801,0.0400333
159.051266070,0.0000000
181.033210070,0.0000000
197.007700070,1.7015844
261.036994994,0.0000000
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0082960
169.010743291,0.0000000
184.985233291,0.0000000
189.112134994,0.9960065
211.094078994,4.6822982
227.068568994,0.0992461
123.044055433,12.6935177
145.025999433,0.1596092
161.000489433,0.0000000
119.070270181,0.2454249
141.052214181,0.0198619
157.026704181,0.0000000
89.107324396,0.3318152
111.089268396,0.0146028
127.063758396,0.0000000
89.059705497,0.1298350
111.041649497,0.0518308
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0037716
190.049869089,1655.1626652
212.031813089,869.9009289
228.006303089,744.5030975
355.102358156,3.2592096
377.084302156,0.3758228
393.058792156,0.0261356
409.294850387,0.0001993
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0018233
409.344086102,0.0155137
425.318576102,0.0222908
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,2.2419410
198.084911291,3.1192061
214.059401291,0.0055216
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.1023090
266.074740530,0.3772496
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0000000
362.015561419,0.0000000
112.050537794,0.0635177
134.032481794,0.0000000
150.006971794,0.0000000
193.070664104,2.4731293
215.052608104,0.0007788
231.027098104,0.0000000
255.065184801,0.0332848
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.1591662
183.074012254,0.2452009
199.048502254,0.0310893
308.064212800,0.0066067
330.046156800,0.0000000
346.020646800,0.0038500
171.005300941,0.0072455
192.987244941,0.0000000
208.961734941,0.0000000
154.086254598,0.0831928
176.068198598,0.3244330
192.042688598,0.4689565
291.086314169,0.2594652
313.068258169,0.0000000
329.042748169,0.0010358
443.097272776,0.0000000
307.081228788,0.0449142
329.063172788,0.3633582
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000002
243.101570310,0.0409967
265.083514310,0.1954318
281.058004310,0.0000000
289.070664104,0.0117801
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.4268605
155.031478736,0.2582110
171.005968736,0.0013804
287.055014040,0.0000000
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0073965
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,4.3654089
219.047522724,0.0057828
235.022012724,0.1364578
148.060433773,63.4268530
170.042377773,0.0287141
186.016867773,0.0462265
147.076418190,292.7760027
169.058362190,0.3143868
185.032852190,1.4880327
76.039304405,0.1906133
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.0519996
174.038629803,0.0000000
190.013119803,0.0000000
284.098944539,0.7575480
306.080888539,0.2228995
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0106634
402.021709428,0.0000000
179.055014040,0.0509515
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0232722
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.1476668
134.068867303,0.0499287
150.043357303,0.0059096
156.076752543,123.2804146
178.058696543,0.0108230
194.033186543,0.0507609
190.118617355,393.7986755
212.100561355,0.1548613
228.075051355,0.2599175
393.299935767,39.8469425
415.281879767,0.0026267
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0000000
147.983459644,0.0000000
176.070604534,0.4394257
198.052548534,0.9255596
214.027038534,0.0094964
269.088045502,0.0847699
291.069989502,0.0000000
307.044479502,0.0000000
349.054376392,0.0000000
371.036320392,0.1761555
387.010810392,0.0000000
131.033884672,0.0000000
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.0284562
233.114814439,0.3679226
249.089304439,0.6693416
90.054954469,92.6605302
112.036898469,0.0000000
128.011388469,0.0000000
175.118951708,118.4805800
197.100895708,527.4125890
213.075385708,0.0883721
133.060768125,2.6026033
155.042712125,0.0000000
171.017202125,0.0067022
134.044783708,0.8756916
156.026727708,0.0011002
172.001217708,0.0000000
170.011769502,0.0000000
191.993713502,0.0040651
207.968203502,0.0000000
241.031125223,0.0000000
263.013069223,0.0000000
278.987559223,0.0000000
136.042675708,0.0000000
158.024619708,0.0000000
173.999109708,0.0000000
120.065519153,0.0311357
142.047463153,0.0000000
158.021953153,0.0020858
281.247506271,0.0000000
303.229450271,0.0289063
319.203940271,0.8587755
147.112803699,190.6116257
169.094747699,0.0542019
185.069237699,18.7917342
166.086254598,1.0549916
188.068198598,1.2139993
204.042688598,0.1195522
116.070604534,0.8823839
138.052548534,4.7097249
154.027038534,0.3158475
106.049869089,0.1435245
128.031813089,0.0000000
144.006303089,0.0000000
182.081169218,20.3868908
204.063113218,20.3098963
220.037603218,0.0096638
263.055014040,0.0979793
285.036958040,0.0144755
301.011448040,0.0000000
117.018234607,0.0000000
139.000178607,0.0167611
154.974668607,0.0000000
233.128453764,7.8582097
255.110397764,0.6279985
271.084887764,0.6201667
319.044843279,0.0000000
341.026787279,0.0000000
357.001277279,0.0000000
229.216206142,0.0136368
251.198150142,0.0297697
267.172640142,0.0335838
287.244152224,0.3800255
309.226096224,0.0436254
325.200586224,0.0054163
230.186302994,0.3253907
252.168246994,0.0128461
268.142736994,0.0116817
245.233587540,0.0107040
267.215531540,0.1567075
283.190021540,0.0188282
188.175738310,2.8573282
210.157682310,0.0564417
226.132172310,0.0163484
175.071332809,0.0188414
197.053276809,0.4648076
213.027766809,1.5533141
176.055348392,0.7595700
198.037292392,0.2703921
214.011782392,0.1241118
305.097941481,2.4562961
327.079885481,0.0159635
