m/z,Intensity
175.023713911,0.0000000
197.005657911,1.8879318
212.980147911,0.0000000
105.114815075,0.0148272
127.096759075,0.0000000
143.071249075,1.9288446
203.223022856,7038.7764101
225.204966856,0.4343124
241.179456856,0.0000000
162.112469347,0.0345995
184.094413347,0.0000000
200.068903347,0.1014234
146.165173626,1430.5779896
168.147117626,0.2568485
184.121607626,0.0000000
149.044449356,0.0000000
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,55.1887851
207.063089965,0.3494210
223.037579965,0.6276775
131.129122469,0.0900512
153.111066469,0.5486551
169.085556469,0.1152603
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.8010292
219.048860134,0.0000000
235.023350134,0.2874237
102.054954469,0.3552048
124.036898469,0.0000000
140.011388469,0.1057024
170.092402607,4.7561530
192.074346607,1.5715855
208.048836607,0.0000000
132.076752543,6684.9528502
154.058696543,4.2617643
170.033186543,41.1570876
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,2.8485459
126.052548534,0.0000000
142.027038534,2.7971258
126.021940263,0.1314381
148.003884263,0.0000000
163.978374263,0.5566830
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.3790062
250.079825911,25.5428168
266.054315911,0.0000000
253.093130883,0.0019441
275.075074883,0.0037575
291.049564883,0.0000000
193.034278595,0.0000000
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,112.8929665
136.048131858,1.4031887
152.022621858,1.0604345
177.075749485,0.2329331
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.2667185
189.052214181,2.7008062
205.026704181,0.0000000
169.049534736,0.0000000
191.031478736,135.9147812
207.005968736,0.0000000
105.054620117,0.0000000
127.036564117,0.0000000
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0000000
227.104954503,0.7007780
153.054620117,0.0023809
175.036564117,0.0000000
191.011054117,0.0000000
168.101904663,0.0000000
190.083848663,0.1316050
206.058338663,55.3110428
