"","compound_and_ion","Tissue","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"67","Malate_2","CB","Control","Mutant",8,5,4.29e-05,"****",0.0034749,"**"
"68","Malate_2","CT","Control","Mutant",8,5,0.000166,"***",0.012118,"*"
"69","Malate_2","HP","Control","Mutant",7,5,0.00341,"**",0.13981,"ns"
"70","Malate_3","CB","Control","Mutant",8,5,0.0578,"ns",1,"ns"
"71","Malate_3","CT","Control","Mutant",8,5,0.00804,"**",0.28944,"ns"
"72","Malate_3","HP","Control","Mutant",7,5,0.252,"ns",1,"ns"
"73","Aspartate_0","CB","Control","Mutant",8,5,2.86e-08,"****",2.5168e-06,"****"
"74","Aspartate_0","CT","Control","Mutant",8,5,9.65e-06,"****",0.0007913,"***"
"75","Aspartate_0","HP","Control","Mutant",7,5,0.000836,"***",0.045144,"*"
"76","Aspartate_2","CB","Control","Mutant",8,5,8.03e-10,"****",7.227e-08,"****"
"77","Aspartate_2","CT","Control","Mutant",8,5,8.39e-06,"****",0.00069637,"***"
"78","Aspartate_2","HP","Control","Mutant",7,5,0.000262,"***",0.017292,"*"
"79","Aspartate_3","CB","Control","Mutant",8,5,5.33e-06,"****",0.00044772,"***"
"80","Aspartate_3","CT","Control","Mutant",8,5,0.000129,"***",0.009804,"**"
"81","Aspartate_3","HP","Control","Mutant",7,5,0.0272,"*",0.7344,"ns"
"82","Gln_0","CB","Control","Mutant",8,5,2.65e-06,"****",0.00022525,"***"
"83","Gln_0","CT","Control","Mutant",8,5,9.91e-05,"****",0.0077298,"**"
"84","Gln_0","HP","Control","Mutant",7,5,0.000329,"***",0.020727,"*"
"85","Gln_2","CB","Control","Mutant",8,5,2.13e-07,"****",1.8318e-05,"****"
"86","Gln_2","CT","Control","Mutant",8,5,0.000224,"***",0.015456,"*"
"87","Gln_2","HP","Control","Mutant",7,5,0.000565,"***",0.03366,"*"
"88","Gln_3","CB","Control","Mutant",8,5,0.000767,"***",0.042952,"*"
"89","Gln_3","CT","Control","Mutant",8,5,0.000241,"***",0.016147,"*"
"90","Gln_3","HP","Control","Mutant",7,5,0.00149,"**",0.07748,"ns"
