"Metabolite","mz","c5_cortex","c5_hippo","c5_cereb","c9_cortex","c9_hippo","c9_cereb","c10_cortex","c10_hippo","c10_cereb"
"Fumarate_M0",117.05876,2.06335329785361,0.75066179600913,0.367901222902615,4.86558827480633,4.68781486262985,8.84784293247617,8.95337678163574,7.58671503504586,3.34933122853507
"Fumarate_M1",118.02656,0.00441580494914864,0,0.00534497105388334,0.117650889844679,0.172668775281151,0.208995167376623,0.042705174647654,0,0.0104999192951436
"Fumarate_M2",119.04436,0.935126907853598,0.640332159233003,0.210888652509795,2.80341780124355,2.10722304059674,4.34805897545223,3.4546288629308,2.22222957836059,1.24281651112006
"Fumarate_M3",120.04216,0.0350567570515013,0.0391728930202834,0.0395862445445341,0.233693498657966,0.379789292902829,0.26045174575364,0.0159966429053202,0,0.00480539296292057
"Fumarate_M4",121.04996,0.0030766552131563,0,0,0.0228084272729226,0.382112099985945,0.00815783960266174,0,0,0.00202242796343544
"GABA_M0",104.07095,13.8302696995313,14.2010046600689,3.59765704517297,22.0527571536759,19.3768266607161,7.09321215250394,12.7411123463073,15.9037459032349,18.6986923968268
"GABA_M1",105.07434,2.3899706378337,1.45442838089921,1.24644563133492,6.47240527714192,7.97932878126418,4.31352915676578,4.50330338506336,3.72727021239994,6.21846173160871
"GABA_M2",106.07773,3.92961362238539,2.06413441780599,1.91091083178888,11.9826092249558,13.1954698460593,5.82099281381666,8.17208795249358,7.01911280620507,12.0742515708453
"GABA_M3",107.08112,0.821034317485591,0.324773720819484,0.629792000377978,4.40322242689814,3.7262826673826,3.25679946414698,3.48922801750902,2.93512481891528,5.07185772106994
"GABA_M4",108.08451,0.177414803495925,0.258788417813419,0.132073646990882,1.35026330015215,1.90230233961141,1.10018322080062,0.66294666004982,0.32717381585216,0.997313917605332
"Glutamate_M0",148.06102,19.791551781304,17.7755011519918,13.3061338069642,28.3866793641831,28.8032012595398,22.239071996924,35.2543579944002,49.8435243649361,26.6887095841699
"Glutamate_M1",149.06433,2.01265775585257,0.33044471727896,1.07308037610553,6.94141158415304,3.37843135122085,4.33984415073851,8.7403016898437,5.39588594200461,4.66788239762387
"Glutamate_M2",150.06764,8.58786669223632,5.0029944655743,4.93685947527226,21.6932187659435,19.9283688060086,13.6256179486087,35.2349087130857,30.7416295379877,20.1912384694821
"Glutamate_M3",151.07095,1.47302636666546,0.725220804066856,0.94139402597997,7.71186609434997,5.6887963431966,4.5438967755434,12.6962833212689,6.58755848480032,6.38910880922746
"Glutamate_M4",152.07426,0.535337818497829,0.172998256676578,0.317906276530292,4.41578793305651,2.41939556280406,2.9819403729142,5.9584121109133,2.57270103489118,2.97920532632019
"Glutamate_M5",153.07757,0.0497211070686583,0,0.0409425916780492,0.813855523618008,0.587570689638899,0.528431110551298,0.770654960698876,0.166045932251253,0.332225114879697
"Glutamine_M0",147.07694,75.3883938157003,94.2106219033805,90.5570684415966,60.5718945405898,57.1695101025041,53.0643272636793,71.2271491677767,86.469916870147,111.708701390938
"Glutamine_M1",148.060065,19.791551781304,17.7755011519918,13.3061338069642,28.3866793641831,28.8032012595398,22.239071996924,35.2543579944002,49.8435243649361,26.6887095841699
"Glutamine_M2",149.08319,35.1421630942602,29.2115785832612,26.4376898842541,52.7087760472913,46.6448012313971,43.5437382742717,80.8552041040535,69.177521957505,86.3349692633932
"Glutamine_M3",150.072315,8.58786669223632,5.0029944655743,4.93685947527226,21.6932187659435,19.9283688060086,13.6256179486087,35.2349087130857,30.7416295379877,20.1912384694821
"Glutamine_M4",151.06944,1.47302636666546,0.725220804066856,0.94139402597997,7.71186609434997,5.6887963431966,4.5438967755434,12.6962833212689,6.58755848480032,6.38910880922746
"Glutamine_M5",152.042565,0.0551162453095632,0.0436125720195228,0.0338042735930531,0.625156470947801,0.500349078007107,0.599810101809403,0.0468700078713244,0,0.0557462732654155
"Pyruvate_M0",89.053845,0.061181336527919,0.0440400122059317,0.0481446034085893,0.560433565237464,0.78287174921001,0.314323691010286,0.126183754412883,0,0.191871111272602
"Pyruvate_M1",90.031645,0.00187627650748389,0,0,0.00972672307972397,0,0.00320563868967987,0,0,0
"Pyruvate_M2",91.039445,0,0,0,0.0149146754418738,0,0.00559386666689109,0,0,0.000954152116777368
"Pyruvate_M3",92.047245,0.00260417168998198,0,0.0028726063500511,0.0390319771653225,0,0.0239976651543194,0.0017353057475972,0,0
"Succinate_M0",119.08481,0.165189326968147,0.118726462708047,0.217901704460219,1.55856992768927,1.79386625206643,1.53915456582529,0.678540222514961,0.570138660189014,0.793118637876662
"Succinate_M1",120.1221,0.32070274227431,0.151096848980591,0.409958527552082,0.00196873670205405,0,0.00462086105224756,0,0,0
"Succinate_M2",121.12401,0.591495941087104,0.421872946039788,0.909783964843619,0,0,0.00586567107162917,0,0,0
"Succinate_M3",122.08781,0.0402661619422363,0,0.00564991736685707,0.0515296930412472,0,0.0363348575071139,0.0634817093027524,0,0.00488588629482577
"Succinate_M4",123.07561,0.0108186976429911,0.0561599912815113,0.00523935891455843,0.194985238008415,0.0603353674356815,0.13476608935901,0.0192906583264263,0.0556881719117937,0.0233453700493399
