"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA",0.50330642,0.1478676,0.09172842,0.24034586,0.25694027,0.28018661,0.34295415,0.27953794,0.22404447,0.28017311
"Glutamate",0.50198866,0.14822146,0.10025421,0.13564761,0.26298461,0.22980848,0.23813553,0.28514073,0.19417351,0.24430192
"Glutamine",0.50197284,0.16220284,0.11569627,0.11203793,0.26186741,0.2513338,0.23917462,0.2930861,0.24371376,0.21748314
